epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,184.451,1.42759,0.365,1,1.32967,0.001225,0.000408333,0.001225,0.000408333,0.001225,0.000408333,0.001225,0.000408333
2,301.993,1.22082,0.63,1,0.97015,0.00231165,0.00077055,0.00231165,0.00077055,0.00231165,0.00077055,0.00231165,0.00077055
3,393.036,0.9258,0.825,1,0.68684,0.0032333,0.00107777,0.0032333,0.00107777,0.0032333,0.00107777,0.0032333,0.00107777
4,476.638,0.68565,0.845,1,0.49475,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025
5,558.133,0.54527,0.86,1,0.45097,0.00276,0.00092,0.00276,0.00092,0.00276,0.00092,0.00276,0.00092
6,639.904,0.46683,0.895,1,0.3779,0.0025125,0.0008375,0.0025125,0.0008375,0.0025125,0.0008375,0.0025125,0.0008375
7,718.534,0.40658,0.895,1,0.37413,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755
8,801.114,0.36901,0.895,1,0.35322,0.0020175,0.0006725,0.0020175,0.0006725,0.0020175,0.0006725,0.0020175,0.0006725
9,879.395,0.37473,0.89,1,0.361,0.00177,0.00059,0.00177,0.00059,0.00177,0.00059,0.00177,0.00059
10,960.922,0.35247,0.9,1,0.29877,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075
11,1038.96,0.34558,0.895,1,0.29188,0.001275,0.000425,0.001275,0.000425,0.001275,0.000425,0.001275,0.000425
12,1121.02,0.31165,0.895,1,0.28882,0.0010275,0.0003425,0.0010275,0.0003425,0.0010275,0.0003425,0.0010275,0.0003425
13,1199.28,0.31857,0.89,1,0.2998,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026
14,1281.37,0.31724,0.89,1,0.32255,0.0005325,0.0001775,0.0005325,0.0001775,0.0005325,0.0001775,0.0005325,0.0001775
15,1361.27,0.30444,0.89,1,0.30443,0.000285,9.5e-05,0.000285,9.5e-05,0.000285,9.5e-05,0.000285,9.5e-05
